gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
PKD2	ENSG00000118762	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	1.3413131580048e-95	4.92899850746344e-87	4.98166947965368e-47	0.39262389143288	39
PKD1	ENSG00000008710	Cystatin C	continuous	376784	pLoF	8.55761214151972e-34	1.2225160202171e-34	9.13861467166655e-06	0.0220064902363238	92
PKD1	ENSG00000008710	Creatinine	continuous	376624	pLoF	1.84691417692802e-30	2.63844882418289e-31	1.28996535027071e-05	0.0185395198539395	92
PKD1	ENSG00000008710	Urea	continuous	376551	pLoF	8.50833849518454e-26	1.21547692788351e-26	0.00016009603055589	0.0203996142366695	92
IFT140	ENSG00000187535	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	7.39777006966786e-22	1.05682429566684e-22	2.44466017607354e-15	0.159513651698214	82
PKD2	ENSG00000118762	Creatinine	continuous	376624	pLoF	1.00165687090144e-16	7.17228512364885e-13	3.50289339139041e-12	0.0252235275282667	39
IFT140	ENSG00000187535	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	4.28784725590098e-14	6.12549607985854e-15	1.96440395736034e-09	0.0703629846699237	82
PKD2	ENSG00000118762	Cystatin C	continuous	376784	pLoF	5.06652038977344e-14	6.72619780667163e-14	1.24347766272681e-06	0.0296788377307193	39
PKD2	ENSG00000118762	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	5.69648169148428e-10	6.08720340800062e-08	6.63688179081134e-07	0.097796685045822	39
PKD2	ENSG00000118762	Urea	continuous	376551	pLoF	3.10909031853157e-09	9.65797064544915e-09	2.66016137151492e-05	0.024706912350503	39
IFT140	ENSG00000187535	Cystatin C	continuous	376784	pLoF	1.85695226306848e-07	9.15298290493638e-08	5.82356337057721e-05	0.00636332098224926	82
PKD1	ENSG00000008710	Microalbumin in urine	continuous	119013	pLoF	2.52323791416487e-07	7.85342653131238e-08	0.0177062202228873	0.0174381408911812	92
PKD2	ENSG00000118762	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	3.54781363509638e-07	6.45920628983276e-07	6.83052455996425e-06	0.12559612543241	39
IFT140	ENSG00000187535	Creatinine	continuous	376624	pLoF	3.88595860489893e-07	2.65431323809295e-07	5.69349684551579e-05	0.00542964088685518	82
ALG9	ENSG00000086848	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	2.00617158285787e-06	1.92306075574855e-06	3.65978505999509e-05	0.19099524546263	46
ALG9	ENSG00000086848	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	1.23481456197894e-05	0.000690919937443524	1.07859021237777e-05	0.110683463414829	46
IFT140	ENSG00000187535	Urea	continuous	376551	pLoF	4.28185738443609e-05	3.14979658826431e-05	0.0155594245310187	0.00528455679957994	82
IFT172	ENSG00000138002	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.000120015242698779	0.0134533703209507	6.10090294964616e-05	0.103228166810464	123
DNAJB11	ENSG00000090520	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	0.000129828170954416	0.000860568368933778	0.000120831157482071	0.231644851971283	25
BBS9	ENSG00000122507	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.000281541351284775	0.00463944102120228	0.000181680488181346	0.126126872159116	61
PKD2	ENSG00000118762	Microalbumin in urine	continuous	119013	pLoF	0.000298742155449117	0.000120966667858546	0.0286251980206719	0.0233921676607149	39
INVS	ENSG00000119509	Cystatin C	continuous	376784	pLoF	0.000327797015135078	0.000145564572035184	0.0308750666470672	0.00615860991369343	84
IFT172	ENSG00000138002	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.000526393238972855	0.000380567933086828	0.00802469631683789	0.0475602070566138	123
IFT172	ENSG00000138002	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	0.000630211367666833	0.0113950982032753	0.000422886903772568	0.0856387841816476	123
INVS	ENSG00000119509	Creatinine	continuous	376624	pLoF	0.000727951538129767	0.000332361413555304	0.0610109301583652	0.0051635655315173	84
IFT140	ENSG00000187535	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	0.000854059362648818	0.00275550091915022	0.000802395853163773	0.137277542577588	82
MKS1	ENSG00000011143	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	0.00112887304514464	0.00294268572339096	0.000795388124006702	0.190541939115245	48
INVS	ENSG00000119509	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.00144332062564245	0.00144222013403061	0.00525130700565257	0.0660573339413583	84
DYNC2I1	ENSG00000126870	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.00159917568800361	0.0399923262335117	0.00081474588714725	0.105641173354137	87
PKD2	ENSG00000118762	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.00162979104970851	0.0189122638610645	0.000887892389011657	0.13004571553881	39
IFT140	ENSG00000187535	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	0.00216492440549887	0.00222305641874465	0.00399529742368465	0.142283775034962	82
BBS5	ENSG00000163093	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.00248412844627033	0.0535943547224246	0.00162026382627289	0.169101032523957	28
MKKS	ENSG00000125863	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	0.00248683604389321	0.0265128824729862	0.00174230590556457	0.211127489882994	37
IFT140	ENSG00000187535	Microalbumin in urine	continuous	119013	pLoF	0.00249629598325429	0.0016391177046764	0.368732417314633	0.00736635580452799	82
DNAJB11	ENSG00000090520	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	0.00276015090033443	0.0149028929608106	0.00215342996779655	0.250603772735212	25
NPHP3	ENSG00000113971	Creatinine	continuous	376624	pLoF	0.00338555191410339	0.00165925921230969	0.125909279614059	0.00319551981441081	115
ALG9	ENSG00000086848	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	0.00357077547267759	0.0139124252978341	0.00285656983819749	0.255307778234054	46
ALG9	ENSG00000086848	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	0.00380918954107956	0.00588980027422492	0.00484795637345548	0.0488537253598738	46
RPGRIP1L	ENSG00000103494	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.00390627259306298	0.0845216915477313	0.00189903709390737	0.0805028123623204	96
TMEM237	ENSG00000155755	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	0.00399982882189454	0.00855424448007813	0.00345016143761367	0.113657711162762	44
SDCCAG8	ENSG00000054282	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.00410696838672397	0.00222997792071222	0.0317380193108965	0.0540728809218112	59
TMEM231	ENSG00000205084	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.00447571542210634	0.0706951921171964	0.00282088509754719	0.150233674472176	31
PKD2	ENSG00000118762	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.00449356537900703	0.0667021100291735	0.00220976848807863	0.0882344369303242	39
MKKS	ENSG00000125863	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	0.0049961076256485	0.0214929537963567	0.00369919394194407	0.223302213485186	37
MKKS	ENSG00000125863	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	pLoF	0.00504173355403437	0.091902573276589	0.00307004397804977	0.133227168771815	37
IFT140	ENSG00000187535	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	0.0053819367712048	0.00345438496053851	0.092695914263617	0.0210957535209915	82
LZTFL1	ENSG00000163818	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.00555755051590945	0.0136895828595902	0.00379112610320309	0.139717320255329	17
DYNC2I1	ENSG00000126870	Creatinine	continuous	376624	pLoF	0.00579255842912318	0.00284878683687362	0.0850843160848804	0.00504119354086305	87
BBS1	ENSG00000174483	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.00644930820333778	0.0855776552633106	0.00325185467242339	0.0797257924993338	48
SDCCAG8	ENSG00000054282	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.00841513272887673	0.0580255427824022	0.00523400947575736	0.0874460959842373	59
INVS	ENSG00000119509	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.00888128563103641	0.0050165925293979	0.0423995834398003	0.0415978828679687	84
MKS1	ENSG00000011143	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	0.00893398452237859	0.107265961213505	0.00548935169749631	0.125259746722439	48
TMEM237	ENSG00000155755	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	0.00903477882052817	0.104988952408528	0.00534368025767962	0.126729358473469	44
AHI1	ENSG00000135541	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.00918400367650785	0.0459545551237318	0.0052662536521767	0.0418678171303336	99
DYNC2I1	ENSG00000126870	N04 nephrotic syndrome	icd_first_occurrence	242	pLoF	0.00973953955322437	0.160688033018137	0.00559050997337451	0.100323652039205	87
PKD2	ENSG00000118762	N17 acute renal failure	icd_first_occurrence	7312	pLoF	0.00992109418779352	0.0756612478137262	0.0053117733015221	0.050960790625528	39
LZTFL1	ENSG00000163818	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.0109121729459146	0.115514735058419	0.00665126934132743	0.119773711527353	17
NPHP3	ENSG00000113971	Cystatin C	continuous	376784	pLoF	0.0113297314444833	0.00572681133175423	0.223491162857776	0.00316152787896692	115
MKKS	ENSG00000125863	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.0113806580292778	0.0670800211642668	0.00732415307207812	0.150796469630889	37
LZTFL1	ENSG00000163818	Microalbumin in urine	continuous	119013	pLoF	0.0124777917077246	0.220365074548728	0.00700983042006609	0.0152703887428486	17
CC2D2A	ENSG00000048342	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.0137258889561587	0.0365653052328802	0.00911688794793619	0.0648430917302628	136
IFT122	ENSG00000163913	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	0.015556867258579	0.235424654426454	0.00820562324798446	0.0735037154195882	101
BBS9	ENSG00000122507	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	0.0156348970289146	0.129791848972517	0.0092521404283793	0.113282502562115	61
ANKS6	ENSG00000165138	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.0169772423562623	0.158447215368485	0.0100233352088194	0.10105294290672	50
IFT172	ENSG00000138002	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	0.0169882034141076	0.205117242644676	0.00954990909965858	0.0853715174732248	123
NPHP1	ENSG00000144061	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	0.0175502980520638	0.0402247936225897	0.0130699801077003	0.186397765024487	37
CC2D2A	ENSG00000048342	Urea	continuous	376551	pLoF	0.0178988532423532	0.0406458296530017	0.0109725889108766	0.0023126640328357	136
AHI1	ENSG00000135541	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.0187000721819196	0.248184175041696	0.00961233540077178	0.0129470348534935	99
TTC8	ENSG00000165533	Cystatin C	continuous	376784	pLoF	0.0188273348912721	0.119912391620397	0.00988717508547887	0.00505130554881289	28
ANKS6	ENSG00000165138	Creatinine	continuous	376624	pLoF	0.0190844966724427	0.00927107415924244	0.227338401127458	0.00595647386591017	50
NEK8	ENSG00000160602	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	0.0197630510259041	0.092130869995968	0.0121222445529805	0.134190959888415	39
MKKS	ENSG00000125863	Cystatin C	continuous	376784	pLoF	0.0205359960560119	0.0103922215105068	0.152219723315788	0.00870741319397999	37
DNAJB11	ENSG00000090520	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.0208591521560715	0.116929854804785	0.0127459033651129	0.117828867538851	25
TMEM67	ENSG00000164953	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	0.0225319978693431	0.0571080927652496	0.0132559191911803	0.0947313597078249	86
IFT122	ENSG00000163913	Creatinine	continuous	376624	pLoF	0.0235920620932325	0.0263934912813499	0.018633198163051	0.00243473648075938	101
ZNF423	ENSG00000102935	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	0.0241275932493465	0.110214525021783	0.01519573908829	0.11864564838076	11
DYNC2I1	ENSG00000126870	Cystatin C	continuous	376784	pLoF	0.0242869801357539	0.012143387304811	0.32382545306685	0.00477500546530905	87
NPHP1	ENSG00000144061	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.0267499847185733	0.161529961609681	0.0147448094060894	0.100112621677623	37
TTC8	ENSG00000165533	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	0.0269190982639202	0.189894170143468	0.0157379167612196	0.0903006258566688	28
BBS1	ENSG00000174483	N17 acute renal failure	icd_first_occurrence	7312	pLoF	0.0275292626518507	0.0424909538587873	0.0239883767014413	0.0468949344707343	48
TMEM231	ENSG00000205084	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	0.0277484099589654	0.146560758083828	0.0166469283624473	0.104975295028959	31
CC2D2A	ENSG00000048342	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.0298082400732466	0.0418927510669463	0.01964879961709	0.0363514080792111	136
TMEM237	ENSG00000155755	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.0318705560332743	0.0178934461637563	0.211122244962455	-0.00422547882141808	44
INVS	ENSG00000119509	N25 impaired renal tubular function	icd_first_occurrence	160	pLoF	0.0338708107820045	0.1455842473854	0.0201859183467464	0.106323527866985	84
DYNC2I1	ENSG00000126870	Urea	continuous	376551	pLoF	0.0362683255749502	0.028650456467513	0.0507194395831907	0.0044375007987821	87
BBS1	ENSG00000174483	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.0368785679281116	0.227251250282764	0.0191853217741049	0.0477525449457341	48
AHI1	ENSG00000135541	N23 unspecified renal colic	icd_first_occurrence	4304	pLoF	0.0411236298468148	0.127523460818482	0.0225316577015138	0.0198600851265008	99
DNAJB11	ENSG00000090520	Cystatin C	continuous	376784	pLoF	0.0438073326936694	0.355244576749268	0.023952869629229	0.00481776312676155	25
NPHP3	ENSG00000113971	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	pLoF	0.0439650114776345	0.0488069758408208	0.0347386193490086	0.0210070290506645	115
IFT172	ENSG00000138002	Microalbumin in urine	continuous	119013	pLoF	0.0478102693904249	0.455474999387608	0.0253072372322355	0.00223209414342659	123
ZNF423	ENSG00000102935	N17 acute renal failure	icd_first_occurrence	7312	pLoF	0.0495554492043268	0.268299633753832	0.028618330984946	0.0656465764824414	11
INVS	ENSG00000119509	Microalbumin in urine	continuous	119013	pLoF	0.0502062444467538	0.100216045559025	0.0283071321216859	0.00530036673226387	84
CC2D2A	ENSG00000048342	N18 chronic renal failure	icd_first_occurrence	14086	pLoF	0.0524489899793902	0.684496282218955	0.0282579224505728	-0.00254694548217736	136
BBS7	ENSG00000138686	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.0544419468434211	0.276043297305526	0.0305767598018792	0.0676711650705298	39
ZNF423	ENSG00000102935	N20 calculus of kidney and ureter	icd_first_occurrence	5879	pLoF	0.0560706552138915	0.193079556849008	0.0337039354159258	0.0844150529980767	11
TMEM237	ENSG00000155755	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	pLoF	0.0572187170828835	0.174140931046499	0.0347053700205924	0.0961844735493989	44
NEK8	ENSG00000160602	Microalbumin in urine	continuous	119013	pLoF	0.0580676328841752	0.0333116319476998	0.320420347867422	-0.00828781710952052	39
BBS12	ENSG00000181004	N19 unspecified renal failure	icd_first_occurrence	2345	pLoF	0.0591475420359381	0.110763925968899	0.039894029220594	0.1248958944217	10
NPHP3	ENSG00000113971	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.0604337331280329	0.182934650249476	0.0322550178688829	0.00158519325545929	115
TMEM231	ENSG00000205084	Creatinine (enzymatic) in urine	continuous	383774	pLoF	0.0621413991762294	0.620808547488595	0.0333329193756218	0.00176527917289309	31
MKKS	ENSG00000125863	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.0623289248306262	0.420569582584491	0.0341230758474027	0.0436281854171383	37
BBIP1	ENSG00000214413	I12 hypertensive renal disease	icd_first_occurrence	1513	pLoF	0.0624046515678671	0.201509142297937	0.0385126512426153	0.0819836085691258	8
AHI1	ENSG00000135541	N26 unspecified contracted kidney	icd_first_occurrence	176	pLoF	0.0638300233757294	0.370692780639422	0.035587776702969	0.051786235169006	99
RPGRIP1L	ENSG00000103494	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	0.0671181115570099	0.266446327568502	0.036055716792906	0.0432186493233299	96
BBS10	ENSG00000179941	Q63 other congenital malformations of kidney	icd_first_occurrence	452	pLoF	0.0674292386760452	0.205058277679619	0.0445376017517338	0.0864864509893059	14
INVS	ENSG00000119509	Q61 cystic kidney disease	icd_first_occurrence	735	pLoF	0.0676644046051125	0.293741465628179	0.0358431924469853	0.0399650303125795	84
MKKS	ENSG00000125863	Creatinine	continuous	376624	pLoF	0.0682372275558447	0.0361778181123528	0.272944209725368	0.00631741583375618	37
TMEM231	ENSG00000205084	Cystatin C	continuous	376784	pLoF	0.0685527341449688	0.0365807305512631	0.358377026805319	-0.00710354079656547	31
