gene	ensembl_id	phenotype	trait_type	n_cases	burden_set	P_SKATO	P_Burden	P_SKAT	BETA	n_variants
PKD1	ENSG00000008710	Creatinine	continuous	376624	missense|LC	2.64166244183631e-14	2.68317553386262e-09	1.02885471521187e-09	-0.000537059542067206	3733
PKD1	ENSG00000008710	Cystatin C	continuous	376784	missense|LC	0.000102038743032495	0.00060672525154104	0.000657743176393666	-0.000348600234467439	3733
IFT172	ENSG00000138002	Creatinine	continuous	376624	missense|LC	0.000499838430762845	0.45713263040255	0.000221715754216256	-0.000176642259906268	835
RPGRIP1L	ENSG00000103494	N18 chronic renal failure	icd_first_occurrence	14086	missense|LC	0.0036634652333587	0.106643475638752	0.00192494875758809	-0.00284217438122794	625
NPHP3	ENSG00000113971	Creatinine	continuous	376624	missense|LC	0.00378924704918437	0.00229365450133523	0.0137641789383738	0.000680534048085672	626
IFT122	ENSG00000163913	Cystatin C	continuous	376784	missense|LC	0.00391113501805707	0.441265490340505	0.00191368950930104	-0.000234960941288529	652
IFT172	ENSG00000138002	N26 unspecified contracted kidney	icd_first_occurrence	176	missense|LC	0.00397402744260689	0.026555419750435	0.00249048664904616	0.0294734729806858	835
BBS5	ENSG00000163093	Creatinine	continuous	376624	missense|LC	0.00466446160197376	0.00506437846641061	0.00414020926872416	-0.000891165222470634	150
MKKS	ENSG00000125863	N20 calculus of kidney and ureter	icd_first_occurrence	5879	missense|LC	0.00639619613890041	0.558103443371535	0.00368869655643334	0.00172920890191805	291
BBS7	ENSG00000138686	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.00793171286104122	0.00575880888218416	0.0198435746150676	0.026361275022537	259
BBS2	ENSG00000125124	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.00840133861636561	0.0055934398121964	0.0462788954681204	0.0362234679741667	339
DNAJB11	ENSG00000090520	N25 impaired renal tubular function	icd_first_occurrence	160	missense|LC	0.0100632384405061	0.280926849448648	0.00532703625875264	0.0681600545150551	165
TMEM231	ENSG00000205084	Creatinine	continuous	376624	missense|LC	0.0105078785818704	0.0464927574395668	0.00742298372499972	-0.00060239732604178	204
MKS1	ENSG00000011143	N20 calculus of kidney and ureter	icd_first_occurrence	5879	missense|LC	0.0114151129354367	0.00976235744248344	0.0172956769870398	-0.00783526572069156	315
IFT172	ENSG00000138002	Cystatin C	continuous	376784	missense|LC	0.0134624555173559	0.388901472106205	0.00673866906394505	-0.000230930622220805	835
BBS12	ENSG00000181004	Cystatin C	continuous	376784	missense|LC	0.0135669939081231	0.362120858300125	0.00806332990762704	0.000337234054494357	387
BBS9	ENSG00000122507	Creatinine	continuous	376624	missense|LC	0.015774795944601	0.00899144526228079	0.0653833176164751	-0.000749141514810885	436
BBS7	ENSG00000138686	Cystatin C	continuous	376784	missense|LC	0.0184596123667236	0.510023755114365	0.0107785682465544	0.000355249833166217	259
DNAJB11	ENSG00000090520	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	missense|LC	0.0187748024698422	0.363742098459891	0.00991964486648245	0.0531964562881408	165
DYNC2I1	ENSG00000126870	Creatinine (enzymatic) in urine	continuous	383774	missense|LC	0.0204557711727037	0.190254927930426	0.0112587392256097	0.000383589360570026	604
NPHP3	ENSG00000113971	N23 unspecified renal colic	icd_first_occurrence	4304	missense|LC	0.0209060579527877	0.0107595996169123	0.313225548101553	0.0069071194532933	626
IFT122	ENSG00000163913	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.021188158645156	0.010940042214832	0.134009108551502	0.0138793225016133	652
BBS4	ENSG00000140463	Cystatin C	continuous	376784	missense|LC	0.0258180649517835	0.128384268286219	0.0131100627670178	0.000893682762924323	283
DNAJB11	ENSG00000090520	Cystatin C	continuous	376784	missense|LC	0.0259502548549216	0.4528046568519	0.0132322104182385	-0.000975520612356796	165
IFT140	ENSG00000187535	N25 impaired renal tubular function	icd_first_occurrence	160	missense|LC	0.0263612126350996	0.24090564595728	0.013454116743137	0.0145360475457382	974
DNAJB11	ENSG00000090520	Microalbumin in urine	continuous	119013	missense|LC	0.0282778762414688	0.0144429022675284	0.374027093387493	0.00681222134381958	165
ALG9	ENSG00000086848	Urea	continuous	376551	missense|LC	0.0287316992988041	0.0391619671064871	0.0188529659644815	-0.00113141004920288	291
BBS12	ENSG00000181004	N08 glomerular disorders in dis. class. elsewhere	icd_first_occurrence	531	missense|LC	0.0288006605774669	0.458363203924587	0.0167614369238054	0.00820823984124225	387
BBS9	ENSG00000122507	N04 nephrotic syndrome	icd_first_occurrence	242	missense|LC	0.0294411818087514	0.761553754551191	0.016946003267767	0.00429528780972981	436
CEP290	ENSG00000198707	Cystatin C	continuous	376784	missense|LC	0.0313196905078968	0.035436019091842	0.0272114864878765	0.000440343925135086	1033
DNAJB11	ENSG00000090520	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.0329247719198225	0.46322900635033	0.0174281988372608	0.0196011442614301	165
BBS12	ENSG00000181004	Microalbumin in urine	continuous	119013	missense|LC	0.0341197811311187	0.0790262389339409	0.0198054441617046	0.00130524753248675	387
BBS7	ENSG00000138686	N18 chronic renal failure	icd_first_occurrence	14086	missense|LC	0.0341938191956656	0.238637294011407	0.019605694059426	0.00388913102518282	259
TMEM237	ENSG00000155755	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.0347542052158888	0.0176220739806751	0.999805378744791	-0.0315785717760359	181
NPHP1	ENSG00000144061	Q60 renal agenesis / reduction defects	icd_first_occurrence	199	missense|LC	0.0351807234637389	0.241135480677059	0.0198361249682439	0.027065417424274	317
DNAJB11	ENSG00000090520	Creatinine (enzymatic) in urine	continuous	383774	missense|LC	0.0352046909079262	0.018150520604354	0.545301932658515	-0.00321377877206349	165
INVS	ENSG00000119509	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	missense|LC	0.03640880905336	0.298408440162065	0.0190553797508248	-0.00279357405417025	513
ALG9	ENSG00000086848	Creatinine	continuous	376624	missense|LC	0.0383068110614913	0.184022856153624	0.0234867210684313	-0.000606965403839311	291
AHI1	ENSG00000135541	Urea	continuous	376551	missense|LC	0.039297345665035	0.0957846739427888	0.0216718574213308	-0.00048195934129374	604
ZNF423	ENSG00000102935	N20 calculus of kidney and ureter	icd_first_occurrence	5879	missense|LC	0.0396360072389516	0.133452562008606	0.0205269594356559	0.00456195257889945	669
BBS10	ENSG00000179941	Urea	continuous	376551	missense|LC	0.0399340812605437	0.814836616101652	0.024039365592796	9.13916442706501e-05	369
IFT122	ENSG00000163913	Urea	continuous	376551	missense|LC	0.039968503375257	0.313025380551434	0.0208420957941947	0.000328261372581651	652
INVS	ENSG00000119509	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.0404727991598414	0.0212880329577508	0.143687811991091	0.0114898862149266	513
IFT172	ENSG00000138002	N18 chronic renal failure	icd_first_occurrence	14086	missense|LC	0.0420773753180655	0.047903187742689	0.0316657181269159	0.0032241736269052	835
BBS7	ENSG00000138686	N25 impaired renal tubular function	icd_first_occurrence	160	missense|LC	0.0427141089711248	0.17507958106125	0.0248358905333397	0.0375798029580056	259
TTC8	ENSG00000165533	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	missense|LC	0.0439270797485229	0.0242214097840069	0.389462180224452	-0.00922789291139473	251
TMEM216	ENSG00000187049	N26 unspecified contracted kidney	icd_first_occurrence	176	missense|LC	0.0441619324242012	0.166587775756707	0.0285775199253757	0.0598950971440923	80
TMEM216	ENSG00000187049	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.0457883052638001	0.109220061603457	0.028197299169779	0.0460557171251576	80
BBS2	ENSG00000125124	N23 unspecified renal colic	icd_first_occurrence	4304	missense|LC	0.045829717210772	0.652236738015243	0.0238207857694354	0.00295831016620942	339
TMEM237	ENSG00000155755	N20 calculus of kidney and ureter	icd_first_occurrence	5879	missense|LC	0.0475060186197251	0.0244385074146638	0.999899890224934	-0.0153844267176725	181
BBIP1	ENSG00000214413	Microalbumin in urine	continuous	119013	missense|LC	0.0479836846699964	0.122276998756174	0.0314698011677786	0.00879457818846439	25
INVS	ENSG00000119509	Cystatin C	continuous	376784	missense|LC	0.0482763079807825	0.0256458745433048	0.222858310560034	0.000615007176308212	513
MKKS	ENSG00000125863	Q63 other congenital malformations of kidney	icd_first_occurrence	452	missense|LC	0.0493690244038069	0.648794987244593	0.0283795684664814	-0.00476082680355515	291
MKKS	ENSG00000125863	Cystatin C	continuous	376784	missense|LC	0.0510235293974552	0.861550183431544	0.0295320914103714	-5.39781707652873e-05	291
IFT172	ENSG00000138002	N23 unspecified renal colic	icd_first_occurrence	4304	missense|LC	0.0558326731698255	0.908486313754353	0.0293202853459498	0.000318753102774636	835
ZNF423	ENSG00000102935	N28 other disorders of kidney and ureter	icd_first_occurrence	5275	missense|LC	0.0584887925165964	0.0296539737862824	0.983377845427353	-0.00696385665429857	669
BBIP1	ENSG00000214413	C64 Malignant neoplasm of kidney	icd10	985	missense|LC	0.0598408974997551	0.356660369982295	0.035131701301875	0.0475489480316868	25
BBS12	ENSG00000181004	I12 hypertensive renal disease	icd_first_occurrence	1513	missense|LC	0.0601664992344438	0.0346836989537964	0.594684671867538	-0.0141230184232211	387
PKD2	ENSG00000118762	Cystatin C	continuous	376784	missense|LC	0.0602705628517766	0.0315748248850235	0.238301472796039	-0.000750061617531085	480
