disease_id	has_chd	has_kidney	has_ckd	n_terms	n_systems
OMIM:100100	0	1	0	16	8
OMIM:100300	1	0	0	40	10
OMIM:100800	0	0	0	47	10
OMIM:101000	0	0	0	31	6
OMIM:101200	1	1	0	85	15
OMIM:101400	1	0	0	49	11
OMIM:101600	0	0	0	30	6
OMIM:101800	0	1	0	53	11
OMIM:101900	0	0	0	9	2
OMIM:102200	1	0	0	16	8
OMIM:102370	0	0	0	21	6
OMIM:102500	1	1	0	59	12
OMIM:102530	0	0	0	4	1
OMIM:102700	0	1	0	42	16
OMIM:102900	0	0	0	3	2
OMIM:103050	0	0	0	45	8
OMIM:103285	0	0	0	28	8
OMIM:103500	0	0	0	9	4
OMIM:103580	0	0	0	32	9
OMIM:103780	0	0	0	2	1
OMIM:103900	0	0	0	10	3
OMIM:104100	0	0	0	14	4
OMIM:104200	0	1	1	21	6
OMIM:104290	0	0	0	11	2
OMIM:104300	0	0	0	8	2
OMIM:104310	0	0	0	7	1
OMIM:104500	0	0	0	2	2
OMIM:104510	0	0	0	5	2
OMIM:104530	0	0	0	7	3
OMIM:105120	1	1	1	18	7
OMIM:105150	0	0	0	6	4
OMIM:105200	0	1	0	15	7
OMIM:105210	1	0	0	54	11
OMIM:105250	0	0	0	7	2
OMIM:105400	0	0	0	16	4
OMIM:105500	0	0	0	12	2
OMIM:105550	0	0	0	24	3
OMIM:105600	0	0	0	9	5
OMIM:105650	1	1	0	61	15
OMIM:105830	0	0	0	45	7
OMIM:106100	0	0	0	21	10
OMIM:106190	0	0	0	5	3
OMIM:106210	0	0	0	26	4
OMIM:106260	1	0	0	42	12
OMIM:106300	0	0	0	13	7
OMIM:106600	0	0	0	3	1
OMIM:107250	0	0	0	7	1
OMIM:107480	1	1	1	58	13
OMIM:107600	0	0	0	2	1
OMIM:107970	1	0	0	12	2
OMIM:108010	0	0	0	2	2
OMIM:108120	0	0	0	33	9
OMIM:108145	0	0	0	42	10
OMIM:108300	1	0	0	39	8
OMIM:108420	0	0	0	9	2
OMIM:108500	0	0	0	18	4
OMIM:108600	0	0	0	17	5
OMIM:108720	0	0	0	54	11
OMIM:108721	0	0	0	25	4
OMIM:108770	1	0	0	8	1
OMIM:108900	1	0	0	14	3
OMIM:108985	0	0	0	5	1
OMIM:109150	0	0	0	41	7
OMIM:109400	1	0	0	52	10
OMIM:109730	1	0	0	9	2
OMIM:109800	0	0	0	4	2
OMIM:110100	0	0	0	25	9
OMIM:111150	0	0	0	2	1
OMIM:111400	0	0	0	2	1
OMIM:111620	0	0	0	1	4
OMIM:112240	0	0	0	23	5
OMIM:112250	0	0	0	24	8
OMIM:112310	0	0	0	9	4
OMIM:112410	0	0	0	7	4
OMIM:112500	0	0	0	22	3
OMIM:112600	0	0	0	16	2
OMIM:113000	1	0	0	22	6
OMIM:113100	0	0	0	35	3
OMIM:113200	0	0	0	4	2
OMIM:113300	0	0	0	10	4
OMIM:113500	0	0	0	14	6
OMIM:113620	0	1	0	77	16
OMIM:113650	0	1	0	41	11
OMIM:113750	0	0	0	8	3
OMIM:113800	0	0	0	8	3
OMIM:113900	0	0	0	10	4
OMIM:113970	0	0	0	4	3
OMIM:114000	0	0	0	14	4
OMIM:114290	1	1	0	92	14
OMIM:114300	0	0	0	36	8
OMIM:114480	0	0	0	3	2
OMIM:114500	0	0	0	8	3
OMIM:114550	0	0	0	4	3
OMIM:115000	1	0	0	7	2
OMIM:115150	1	1	0	120	16
OMIM:115195	1	0	0	10	2
OMIM:115196	1	0	0	3	2
OMIM:115197	1	0	0	32	7
OMIM:115200	1	0	0	14	2
OMIM:115210	1	0	0	6	3
OMIM:115300	0	0	0	4	2
OMIM:115310	0	0	0	21	9
OMIM:115430	0	0	0	5	3
OMIM:115700	0	0	0	2	1
OMIM:115900	0	0	0	7	1
OMIM:116100	0	0	0	6	1
OMIM:116200	0	0	0	6	1
OMIM:116300	0	0	0	5	1
OMIM:116400	0	0	0	2	1
OMIM:116600	0	0	0	5	1
OMIM:116700	0	0	0	2	1
OMIM:116800	0	0	0	6	1
OMIM:116860	0	0	0	11	8
OMIM:116920	0	0	0	19	8
OMIM:117000	0	0	0	25	7
OMIM:117210	0	0	0	10	3
OMIM:117300	0	0	0	10	5
OMIM:117360	1	1	0	141	10
OMIM:117550	1	1	0	128	17
OMIM:117650	1	1	0	49	12
OMIM:118100	0	1	0	25	8
OMIM:118200	0	0	0	26	4
OMIM:118210	0	0	0	21	4
OMIM:118220	0	0	0	27	4
OMIM:118300	0	0	0	23	4
OMIM:118400	0	0	0	21	5
OMIM:118450	1	1	1	64	15
OMIM:118600	0	0	0	5	1
OMIM:118700	0	0	0	10	2
OMIM:118800	0	0	0	10	4
OMIM:119300	0	0	0	7	2
OMIM:119500	0	0	0	21	6
OMIM:119580	0	0	0	21	7
OMIM:119600	0	0	0	58	8
OMIM:119800	0	0	0	19	8
OMIM:119900	0	0	0	3	2
OMIM:120100	0	1	0	20	12
OMIM:120200	0	0	0	14	4
OMIM:120330	0	1	1	44	10
OMIM:120430	0	0	0	3	1
OMIM:120433	0	0	0	11	6
OMIM:120435	0	0	0	2	2
OMIM:120790	0	0	0	2	1
OMIM:120970	0	0	0	15	1
OMIM:121050	1	0	0	51	8
OMIM:121200	0	0	0	8	1
OMIM:121201	0	0	0	6	1
OMIM:121300	0	0	0	28	10
OMIM:121800	0	0	0	3	1
OMIM:121820	0	0	0	8	1
OMIM:121850	0	0	0	3	2
OMIM:121900	0	0	0	6	1
OMIM:122000	0	0	0	14	2
OMIM:122100	0	0	0	7	2
OMIM:122200	0	0	0	4	1
OMIM:122400	0	0	0	8	3
OMIM:122470	1	1	0	129	17
OMIM:122600	0	0	0	16	5
OMIM:122700	0	0	0	2	1
OMIM:122860	0	0	0	26	9
OMIM:122880	0	0	0	12	5
OMIM:123000	0	0	0	61	10
OMIM:123100	0	0	0	17	4
OMIM:123150	0	0	0	16	4
OMIM:123320	0	0	0	13	3
OMIM:123400	0	0	0	23	5
OMIM:123500	0	0	0	30	9
OMIM:123570	0	0	0	5	2
OMIM:123700	1	0	0	20	7
OMIM:123790	0	0	0	54	11
OMIM:124000	1	1	0	57	13
OMIM:124200	0	0	0	15	4
OMIM:124480	0	0	0	19	6
OMIM:124500	0	0	0	7	4
OMIM:124900	0	0	0	9	3
OMIM:125250	0	0	0	25	4
OMIM:125310	0	0	0	28	7
OMIM:125350	0	0	0	4	1
OMIM:125370	0	0	0	17	1
OMIM:125400	0	0	0	8	2
OMIM:125420	0	0	0	5	2
OMIM:125490	0	0	0	3	2
OMIM:125500	0	0	0	6	2
OMIM:125595	0	0	0	9	3
OMIM:125630	0	0	0	5	2
OMIM:125700	0	0	0	9	5
OMIM:125800	0	0	0	18	6
OMIM:125850	0	0	0	3	3
OMIM:125851	0	0	0	3	2
OMIM:125852	0	0	0	3	2
OMIM:125853	0	0	0	5	3
OMIM:126200	0	0	0	12	5
