lesion	n_dis	adjOR	lo	hi	p
Hypoplastic left heart	51	6.133120968005776	3.242413943399386	11.600977995041527	2.4435011340193502e-08
Tetralogy of Fallot	114	4.830105984238758	3.14693107432928	7.413547760638981	5.821622513372596e-13
Dextrocardia	101	2.656060015463636	1.663885812038178	4.239867155969726	4.243904737592882e-05
Patent ductus arteriosus	368	2.455968298095581	1.9254257582047198	3.1326994850606846	4.614513484381512e-13
Heterotaxy/situs inversus	75	2.4122276292978846	1.3707471941069707	4.24501480693456	0.0022611220465041785
Coarctation of aorta	114	2.3938348548968733	1.5729491141442389	3.6431218664290848	4.62010861152102e-05
Ventricular septal defect	513	2.358459089377081	1.9046576072403596	2.9203827790993775	3.569210220826744e-15
Atrioventricular canal defect	71	2.217609472035093	1.2882528508920414	3.817411905632093	0.004052858721038462
Atrial septal defect	469	2.1301382589316433	1.7018921272875074	2.6661437169911752	4.016159553581563e-11
Transposition great arteries	43	2.066391088825858	1.0124163007280191	4.217605078966447	0.04616303230924188
Bicuspid aortic valve	109	1.8898416464999688	1.1974091499741806	2.9826909615002726	0.0062606565461415745
Pulmonic stenosis	157	1.774961039403468	1.2238266578236947	2.574291605154838	0.002488030923974698
