term,id,n_organ,overlap,OR,p
Abnormal ureter morphology,HP:0025633,163,137,12.392898631244002,3.994770256202835e-45
Abnormal renal pelvis morphology,HP:0010944,321,254,9.547716608989193,9.549991658286237e-74
Abnormal enteric nervous system morphology,HP:0025028,152,122,9.460684872128304,3.5579763843990305e-36
Abnormal autonomic nervous system morphology,HP:0012331,152,122,9.460684872128304,3.5579763843990305e-36
Abnormal enteric ganglion morphology,HP:0004362,151,121,9.377041368854234,9.504761283017838e-36
Abnormal anus morphology,HP:0034915,224,172,7.904673283705542,5.001681779760805e-46
Abnormal fetal morphology,HP:0034058,342,257,7.592226741017148,3.704919730554985e-66
Abnormal soft palate morphology,HP:0100736,281,207,6.803612283997693,2.1169680418825612e-50
Abnormal 5th finger morphology,HP:0004207,537,381,6.591748361099417,4.9055071195158236e-88
Abnormal abdominal wall morphology,HP:0004298,584,411,6.533712519148267,6.495554057782544e-94
Abnormal umbilicus morphology,HP:0001551,333,241,6.490762018567883,1.5637491790130124e-56
Abnormal uvula morphology,HP:0000172,210,154,6.48605577689243,5.998438514109408e-37
Abnormal thumb morphology,HP:0001172,421,300,6.356951871657754,1.320106558949684e-68
Abnormal male urethral meatus morphology,HP:0032076,421,299,6.2774117391985165,8.336477666098947e-68
Abnormal meningeal morphology,HP:0010651,195,142,6.274517115370274,1.6269702038552498e-33
Abnormal renal morphology,HP:0012210,1198,750,5.813383045525903,1.4528495444212228e-144
Abnormal skeletal morphology,HP:0011842,3311,1431,5.7436774133605875,1.527260731676537e-137
Abnormal neural tube morphology,HP:0410043,318,222,5.647774687065368,1.5717625042687757e-47
Abnormal forearm morphology,HP:0002973,244,170,5.448757482314529,4.91536253619064e-36
Abnormal penis morphology,HP:0000036,720,473,5.422280508477467,1.0349678749723113e-92
Abnormal sacrum morphology,HP:0005107,177,124,5.4149469339622645,1.0129280546324279e-26
Abnormal nasal morphology,HP:0005105,1580,914,5.412224556996675,3.619725787532883e-154
Abnormal larynx morphology,HP:0025423,170,119,5.385896603936837,1.276736917257529e-25
Abnormal forearm bone morphology,HP:0040072,241,167,5.341847540775873,6.348335502395265e-35
Abnormal hand morphology,HP:0005922,1116,688,5.259028498903889,7.755664181629752e-124
Abnormal small intestine morphology,HP:0002244,231,159,5.202309571396847,1.0607755784846616e-32
Abnormal finger morphology,HP:0001167,1301,777,5.178970027577741,1.5785258831629739e-133
Abnormal digit morphology,HP:0011297,1628,924,5.178668478260869,2.2372071262160584e-148
Abnormal thorax morphology,HP:0000765,970,605,5.0951502953970005,1.5054186806676532e-108
Abnormal external genitalia morphology,HP:0000811,1210,729,5.090502466442316,1.7177588133498442e-125
Abnormal nasal bridge morphology,HP:0000422,1080,663,5.088726611489144,1.0422802337520188e-116
Abnormal male external genitalia morphology,HP:0000032,1167,707,5.076956065513937,2.3537952928081167e-122
Abnormal cheek morphology,HP:0004426,304,206,5.07439014120091,7.617505051031723e-41
Abnormal toe morphology,HP:0001780,786,502,5.073852441071298,2.6424536462944214e-92
Abnormal hallux morphology,HP:0001844,227,155,5.057954964931709,2.9895613780791804e-31
Abnormal digestive system morphology,HP:0025033,1096,670,5.055105041020534,6.078070911259767e-117
Abnormal appendicular skeleton morphology,HP:0011844,1977,1050,4.9782481829274765,3.830964781921383e-149
