analysis	trait1	trait2	estimate	se	z	intercept	n_snp
h2	eGFR_CKDGen		0.0702202	0.00439404	15.9808	0.894495	1176043
h2	CHD_FinnGen		0.0562724	0.0265082	2.12284	1.01819	1172981
h2	CKD_FinnGen		0.0623871	0.0141989	4.3938	1.04414	1172976
h2	CysticKidney_FinnGen		0.0411725	0.13337	0.308709	1.05733	1172981
rg	eGFR_CKDGen	CHD_FinnGen	-0.0342654	0.0812781	-0.421583	0.00152934	1165783
rg	eGFR_CKDGen	CKD_FinnGen	-0.363613	0.0555964	-6.54024	-0.0283371	1165779
rg	eGFR_CKDGen	CysticKidney_FinnGen	-0.0902611	0.172357	-0.523688	0.00257695	1165783
rg	CHD_FinnGen	CKD_FinnGen	-0.244398	0.233866	-1.04503	0.0120964	1172976
rg	CHD_FinnGen	CysticKidney_FinnGen	-0.829561	0.850981	-0.974829	0.0157069	1172981
rg	CKD_FinnGen	CysticKidney_FinnGen	0.200266	0.602309	0.332497	0.187659	1172976
