gene_symbol	ensembl_id	chrom	gene_start	gene_end	tier	mechanism	n_dis_card	n_dis_kid	n_dis_ckd	pLI	LOEUF
SDCCAG8	ENSG00000054282	1	243256041	243500091	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	4	3	4.0107e-13	0.843
BBIP1	ENSG00000214413	10	110898730	110919180	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	2	0.073605	1.693
TMEM216	ENSG00000187049	11	61392587	61398846	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	4	2	0.00011783	1.453
BBS1	ENSG00000174483	11	66510635	66533598	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	1	1	5.6877e-17	1.003
BBS10	ENSG00000179941	12	76344474	76348415	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	2	2	1.219e-05	1.418
CEP290	ENSG00000198707	12	88049016	88142088	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	5	6	1.2493e-48	1.094
TTC8	ENSG00000165533	14	88824651	88877988	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	2	1	5.2419e-08	0.8
BBS4	ENSG00000140463	15	72686207	72738473	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	2	1	6.813e-12	0.953
ZNF423	ENSG00000102935	16	49487524	49856112	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	1	1.0	0.196
RPGRIP1L	ENSG00000103494	16	53598153	53703859	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	5	4	4.2917e-23	0.907
BBS2	ENSG00000125124	16	56484385	56520024	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	3	2	6.2071e-15	0.892
TMEM231	ENSG00000205084	16	75536741	75556252	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	4	1	2.6458e-09	1.41
NEK8	ENSG00000160602	17	28728788	28743455	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	5	4	1.7709e-11	0.835
MKS1	ENSG00000011143	17	58205441	58219255	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	5	3	1	1.0926000000000002e-19	0.991
IFT172	ENSG00000138002	2	27444377	27489743	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	3	3	1.2319e-29	0.745
NPHP1	ENSG00000144061	2	110123348	110205013	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	5	6	4.482e-10	0.92
BBS5	ENSG00000163093	2	169479494	169506655	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	1	0.00025273	0.884
TMEM237	ENSG00000155755	2	201620186	201643503	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	2	2	1.0116e-14	1.318
MKKS	ENSG00000125863	20	10401009	10434222	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	4	1	9.952e-11	1.112
LZTFL1	ENSG00000163818	3	45823316	45842119	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	2	2	0.0015497	0.874
IFT122	ENSG00000163913	3	129440224	129520507	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	1	9.3639e-23	0.811
NPHP3	ENSG00000113971	3	132680609	132722409	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	6	5	1.4470999999999998e-21	0.873
CC2D2A	ENSG00000048342	4	15469882	15601552	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	4	3	6.8922e-26	0.854
BBS7	ENSG00000138686	4	121824329	121870474	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	1	8.5502e-07	0.701
BBS12	ENSG00000181004	4	122732704	122744939	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	2	1	0.0035062	1.419
AHI1	ENSG00000135541	6	135283532	135497740	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	1	1	2.6598000000000003e-30	1.069
BBS9	ENSG00000122507	7	33129564	33606069	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	2	6.721399999999999e-22	0.959
DYNC2I1	ENSG00000126870	7	158856558	158946189	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	2	1	2.2708e-17	0.802
TMEM67	ENSG00000164953	8	93754894	93818121	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	9	7	3.1439e-18	1.079
ANKS6	ENSG00000165138	9	98732009	98796555	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	1	4.1775e-10	0.869
INVS	ENSG00000119509	9	100099243	100302175	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	2	2	1.7464e-21	0.941
