gene_symbol	ensembl_id	chrom	gene_start	gene_end	tier	mechanism	n_dis_card	n_dis_kid	n_dis_ckd	pLI	LOEUF
MAD2L2	ENSG00000116670	1	11674480	11681148	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.0030912	0.806
CLCNKB	ENSG00000184908	1	16043782	16057308	1 - CHD + renal anomaly + documented CKD	Other	1	3	2	1.4731e-22	1.072
MMACHC	ENSG00000132763	1	45500300	45513382	1 - CHD + renal anomaly + documented CKD	Other	1	1	2	0.00018448	1.162
CPT2	ENSG00000157184	1	53196824	53214197	1 - CHD + renal anomaly + documented CKD	Other	4	3	4	1.9677e-09	1.038
IL23R	ENSG00000162594	1	67166454	67259979	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.0015618	0.739
NOTCH2	ENSG00000134250	1	119911553	120069662	1 - CHD + renal anomaly + documented CKD	NOTCH signalling	3	3	1	1.0	0.151
PBX1	ENSG00000185630	1	164559184	164851831	1 - CHD + renal anomaly + documented CKD	Other	1	2	2	1.0	0.212
UBE2T	ENSG00000077152	1	202331657	202341936	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.082991	0.838
CHRM3	ENSG00000133019	1	239386568	239915450	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.99943	0.42
SDCCAG8	ENSG00000054282	1	243256041	243500091	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	4	3	4.0107e-13	0.843
GATA3	ENSG00000107485	10	8054688	8075198	1 - CHD + renal anomaly + documented CKD	Developmental TF (CAKUT/CHD syndromes)	1	2	2	0.99953	0.376
ERCC6	ENSG00000225830	10	49454470	49539121	1 - CHD + renal anomaly + documented CKD	Other	1	1	3	1.2087e-23	0.803
BICC1	ENSG00000122870	10	58512872	58831435	1 - CHD + renal anomaly + documented CKD	Other	1	2	2	0.29986	0.541
FAS	ENSG00000026103	10	88990798	89017059	1 - CHD + renal anomaly + documented CKD	Other	1	2	2	0.99961	0.372
SMC3	ENSG00000108055	10	110567695	110606048	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	1.0	0.132
BBIP1	ENSG00000214413	10	110898730	110919180	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	2	0.073605	1.693
EBF3	ENSG00000108001	10	129835233	129964274	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.0	0.353
HRAS	ENSG00000174775	11	532242	535576	1 - CHD + renal anomaly + documented CKD	RAS-MAPK (RASopathy)	2	2	1	0.017283	0.893
FANCF	ENSG00000183161	11	22622533	22625823	1 - CHD + renal anomaly + documented CKD	Other	2	2	1		
WT1	ENSG00000184937	11	32387775	32435539	1 - CHD + renal anomaly + documented CKD	Developmental TF (CAKUT/CHD syndromes)	2	8	6	1.0	0.253
TMEM216	ENSG00000187049	11	61392587	61398846	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	4	2	0.00011783	1.453
GANAB	ENSG00000089597	11	62624829	62646613	1 - CHD + renal anomaly + documented CKD	Polycystic kidney disease	1	2	1	1.0	0.391
MEN1	ENSG00000133895	11	64803516	64810551	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	1.0	0.206
BBS1	ENSG00000174483	11	66510635	66533598	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	1	1	5.6877e-17	1.003
CCND1	ENSG00000110092	11	69641156	69654474	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.7209	0.609
CLPB	ENSG00000162129	11	72285495	72434531	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.00035321	0.643
AMOTL1	ENSG00000166025	11	94768356	94876748	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.0029055	0.581
MMP1	ENSG00000196611	11	102789919	102798160	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.3919e-15	1.291
ALG9	ENSG00000086848	11	111782195	111871581	1 - CHD + renal anomaly + documented CKD	Polycystic kidney disease	4	4	1	1.3976e-12	0.853
