GENE	SYMBOL	CHR	START	STOP	NSNPS	N	ZSTAT	P
148398	SAMD11	1	859993	879961	17	827489	2.0001	0.022742
26155	NOC2L	1	879583	894679	35	853872	0.27624	0.39118
339451	KLHL17	1	895967	901099	13	841042	0.24474	0.40333
84069	PLEKHN1	1	901872	910488	9	789012	0.79557	0.21314
84808	PERM1	1	910579	917473	19	828122	1.1038	0.13485
57801	HES4	1	934342	936608	9	847269	1.4012	0.080577
9636	ISG15	1	948847	949920	5	867614	1.7805	0.037499
375790	AGRN	1	955503	991499	76	847048	2.8054	0.0025125
401934	RNF223	1	1007126	1009687	6	880132	2.6525	0.0039943
54991	C1orf159	1	1017198	1051736	91	935384	1.4484	0.073755
254173	TTLL10	1	1109286	1133315	118	894218	-0.43415	0.66791
8784	TNFRSF18	1	1138888	1142163	10	914830	-0.84392	0.80064
7293	TNFRSF4	1	1146706	1149703	8	913302	0.13731	0.44539
51150	SDF4	1	1152288	1167447	84	958675	-0.31562	0.62385
126792	B3GALT6	1	1167629	1170421	8	933496	0.38144	0.35144
388581	C1QTNF12	1	1177826	1182102	10	946209	-0.16433	0.56527
118424	UBE2J2	1	1189292	1209234	47	907003	-0.0016014	0.50064
6339	SCNN1D	1	1215816	1227409	36	876351	-0.79042	0.78536
116983	ACAP3	1	1227764	1243304	36	901532	-0.084501	0.53367
126789	PUSL1	1	1243962	1247057	4	862035	-0.31929	0.62525
54973	INTS11	1	1246965	1260067	16	888711	0.56976	0.28442
80772	CPTP	1	1260136	1264276	10	904923	0.38188	0.35127
83756	TAS1R3	1	1266726	1269844	5	908851	0.49831	0.30913
1855	DVL1	1	1270658	1284509	28	915442	1.1567	0.12369
54587	MXRA8	1	1288071	1297183	23	907673	0.61411	0.26957
54998	AURKAIP1	1	1309110	1310818	7	885384	1.382	0.083492
81669	CCNL2	1	1321091	1334718	11	891517	0.85351	0.19669
55052	MRPL20	1	1337276	1342693	12	869571	1.2688	0.10226
441869	ANKRD65	1	1353800	1356824	5	856447	-0.071958	0.52868
643965	TMEM278	1	1361508	1363167	5	830680	1.613	0.053377
64856	VWA1	1	1370903	1378262	13	835700	1.7631	0.038945
219293	ATAD3C	1	1378152	1405538	42	826074	1.1199	0.13138
83858	ATAD3B	1	1407139	1444852	45	813539	0.20954	0.41701
55210	ATAD3A	1	1447523	1470067	46	848587	0.33923	0.36722
339453	TMEM240	1	1470158	1475740	5	934550	1.2784	0.10055
29101	SSU72	1	1477053	1510262	76	933708	1.3914	0.082049
728642	CDK11A	1	1633822	1655999	26	815744	0.4219	0.33655
9906	SLC35E2A	1	1656277	1677438	20	879676	3.0084	0.0013133
65220	NADK	1	1682671	1711508	54	938384	4.9001	4.7903e-07
2782	GNB1	1	1716725	1822552	110	935815	4.4941	3.4926e-06
163688	CALML6	1	1846266	1848733	10	967437	4.8771	5.3824e-07
339456	TMEM52	1	1849029	1850740	5	946857	4.9874	3.0606e-07
85452	CFAP74	1	1853390	1935276	255	877793	4.7542	9.9623e-07
2563	GABRD	1	1950768	1962192	17	864083	1.2242	0.11044
5590	PRKCZ	1	1981909	2116834	360	929652	6.9417	1.9367e-12
100506504	PRKCZ-AS1	1	2113250	2115812	3	934219	4.7443	1.0462e-06
199990	FAAP20	1	2115899	2144159	52	913542	5.7403	4.7266e-09
6497	SKI	1	2160134	2241652	246	919116	5.4113	3.1289e-08
79906	MORN1	1	2251719	2323190	331	929866	2.3512	0.0093553
11079	RER1	1	2323214	2336883	39	934566	4.6729	1.4851e-06
5192	PEX10	1	2336241	2344010	27	908532	4.7502	1.016e-06
9651	PLCH2	1	2407754	2436964	94	881167	1.2735	0.10142
55229	PANK4	1	2439975	2458061	66	909362	-0.1107	0.54407
388585	HES5	1	2460184	2461684	5	873313	0.77598	0.21888
8764	TNFRSF14	1	2487291	2495268	22	929813	-0.81996	0.79388
127281	PRXL2B	1	2517899	2522908	12	947995	-0.68535	0.75344
79258	MMEL1	1	2522078	2564499	164	954436	-0.43089	0.66673
100287898	TTC34	1	2572807	2706230	78	925784	-0.38948	0.65154
140625	ACTRT2	1	2938046	2939467	4	899865	1.8166	0.034635
63976	PRDM16	1	2985565	3355185	1395	915193	0.5323	0.29726
