analysis	method	n_instruments	estimate	se	ci_low	ci_high	p_value
CHD -> eGFR (strict, p<5e-08)	IVW	2	-0.0004028979544396244	0.0016333539165828317	-0.0036042716309419745	0.002798475722062726	0.8051643157716242
CHD -> eGFR (strict, p<5e-08)	CochranQ	2	0.05026546203163905	1.0	nan	nan	0.8226019922901683
CHD -> eGFR (strict, p<5e-08)	WeightedMedian	2	-0.0007357377242160714	0.0022186715978855585	-0.005084334056071766	0.003612858607639623	0.7401823939114789
CHD -> eGFR (strict, p<5e-08)	SteigerExposureR2	2	0.004427493822443091	nan	nan	nan	nan
CHD -> eGFR (strict, p<5e-08)	SteigerOutcomeR2	2	1.1553204760798407e-07	nan	nan	nan	nan
CHD -> eGFR (strict, p<5e-08)	SteigerInstrumentsFavouringExposure	2	2.0	nan	nan	nan	nan
CHD -> eGFR (strict, p<5e-08)	MinDetectableEffect	2	0.0045733909664319285	nan	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	IVW	18	-0.0008536639349249276	0.0010374529551781925	-0.002887071727074185	0.0011797438572243297	0.41059561762393104
CHD -> eGFR (relaxed, p<1e-05)	CochranQ	18	42.3948432512548	17.0	nan	nan	0.0005880126667147451
CHD -> eGFR (relaxed, p<1e-05)	WeightedMedian	18	-0.0	0.0010189032396610179	-0.001997050349735595	0.001997050349735595	1.0
CHD -> eGFR (relaxed, p<1e-05)	EggerSlope	18	0.003642647371984714	0.0033805210066594265	-0.0029831738010677616	0.01026846854503719	0.2812389895434244
CHD -> eGFR (relaxed, p<1e-05)	EggerIntercept	18	-0.0006760632212504395	0.00048508474216938323	-0.0016268293159024307	0.00027470287340155164	0.1634078325541346
CHD -> eGFR (relaxed, p<1e-05)	SteigerExposureR2	18	0.02911524916653692	nan	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	SteigerOutcomeR2	18	4.5351367696542654e-05	nan	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	SteigerInstrumentsFavouringExposure	18	18.0	nan	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	MinDetectableEffect	18	0.002904868274498939	nan	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs11166276	17	-0.0009210730086289593	0.0011090533548264502	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs4689912	17	-0.0008651264693782665	0.0011201080475895012	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs192987035	17	-0.0007262925744499055	0.0010856166322925566	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs7534895	17	-0.0013320203624020619	0.0010464591574005026	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs2958659	17	-0.00011850615140887367	0.0008553691766190932	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs4639354	17	-0.0010297862279271307	0.0010912983276302477	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs76351593	17	-0.001068406885688605	0.0010394681125714745	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs28495793	17	-0.0006142300703175415	0.001072284503857651	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs73749922	17	-0.0008412583846018469	0.0011056965192669185	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs61602610	17	-0.0008650362492993622	0.001102589453706078	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs13353649	17	-0.0009026094830235561	0.0010983554831874751	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs16871364	17	-0.0011485290600555204	0.0010661358713144149	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs4927791	17	-0.00033823998986821083	0.0009689488857435963	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs77232754	17	-0.0009556329597573365	0.0010607516188653708	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs78656993	17	-0.0008960339289116727	0.0010945156191418356	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs80202787	17	-0.0009673307318459608	0.0010839705718732081	nan	nan	nan
CHD -> eGFR (relaxed, p<1e-05)	LeaveOneOut_rs6428922	17	-0.0008867772620182955	0.0010890829420335984	nan	nan	nan
