gene_symbol	ensembl_id	chrom	gene_start	gene_end	tier	mechanism	n_dis_card	n_dis_kid	n_dis_ckd	pLI	LOEUF
B3GALT6	ENSG00000176022	1	1232237	1235041	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.0328e-14	1.987
DVL1	ENSG00000107404	1	1335278	1349418	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2538e-14	1.046
MMP23B	ENSG00000189409	1	1632173	1634654	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.0103	1.923
GABRD	ENSG00000187730	1	2019345	2030758	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00016648	0.786
PRKCZ	ENSG00000067606	1	2050411	2185395	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.050019	0.576
SKI	ENSG00000157933	1	2228319	2310213	3 - CHD + renal anomaly, single-disease	Other	3	1	0	6.9663e-06	0.809
PEX10	ENSG00000157911	1	2403974	2412564	2 - CHD + renal anomaly, multi-disease	Peroxisomal	2	2	0	9.5794e-11	1.234
PRDM16	ENSG00000142611	1	3069203	3438621	3 - CHD + renal anomaly, single-disease	Other	3	1	0	1.0	0.304
KCNAB2	ENSG00000069424	1	6045888	6101180	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.018746	0.622
RERE	ENSG00000142599	1	8352404	8817640	2 - CHD + renal anomaly, multi-disease	Other	3	2	0	0.99882	0.459
UBE4B	ENSG00000130939	1	10032958	10181239	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.237
CASZ1	ENSG00000130940	1	10636604	10796646	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.285
CIROZ	ENSG00000175262	1	10946475	10982076	3 - CHD + renal anomaly, single-disease	Other	1	1	0		
MAD2L2	ENSG00000116670	1	11674480	11681148	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.0030912	0.806
PDPN	ENSG00000162493	1	13583832	13617957	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.7337	0.689
SPEN	ENSG00000065526	1	15847707	15940456	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.0	0.094
CLCNKB	ENSG00000184908	1	16043782	16057308	1 - CHD + renal anomaly + documented CKD	Other	1	3	2	1.4731e-22	1.072
SDHB	ENSG00000117118	1	17018722	17054032	3 - CHD + renal anomaly, single-disease	Mitochondrial / OXPHOS	1	2	0	0.027807	0.741
HSPG2	ENSG00000142798	1	21822244	21937310	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.3604e-38	0.603
CDC42	ENSG00000070831	1	22052709	22101360	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	0.872	0.611
WNT4	ENSG00000162552	1	22117313	22143097	2 - CHD + renal anomaly, multi-disease	Other	2	5	0	0.054707	0.694
KDM1A	ENSG00000004487	1	23019468	23083689	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.003442	0.638
LUZP1	ENSG00000169641	1	23084030	23168856	3 - CHD + renal anomaly, single-disease	Other	1	1	0		
RPL11	ENSG00000142676	1	23691806	23696835	2 - CHD + renal anomaly, multi-disease	Ribosomopathy	2	2	0	0.99902	0.342
